19-04-19.15:52:31.519 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/SwaggerOperationModelsProvider.class]
19-04-19.15:52:31.522 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/SwaggerOperationResponseClassReader.class]
19-04-19.15:52:31.524 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/SwaggerOperationTagsReader.class]
19-04-19.15:52:31.525 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/SwaggerResponseMessageReader.class]
19-04-19.15:52:31.527 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/VendorExtensionsReader.class]
19-04-19.15:52:31.528 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/parameter/ParameterAccessReader.class]
19-04-19.15:52:31.529 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/parameter/ParameterAllowableReader.class]
19-04-19.15:52:31.531 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/parameter/ParameterDefaultReader.class]
19-04-19.15:52:31.533 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/parameter/ParameterDescriptionReader.class]
19-04-19.15:52:31.538 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/parameter/ParameterMultiplesReader.class]
19-04-19.15:52:31.540 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/parameter/ParameterRequiredReader.class]
19-04-19.15:52:31.541 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/parameter/SwaggerExpandedParameterBuilder.class]
19-04-19.15:52:31.545 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/web/ApiListingTagReader.class]
